fredag 15. mars 2024	17:56:17
Time(s)	SP-1	SP-2	SP-3	SP-4	SP-5	SP-6	SP-7	SP-8	SP-9	SP-10	SP-11	SP-12	SP-13	SP-14	SP-15	SC-1	SP-16	SP-17	SP-18	SP-19	SP-20	SP-21	SP-22	SP-23	SP-24	SP-25	SP-26	SP-27	SP-28	SP-29	SP-30	
30,000000	1205,491628	172,168215	161,232463	173,090814	192,753474	200,553238	214,136073	237,320315	212,765202	181,788353	242,920918	264,023947	253,561909	250,030061	260,584547	3,706950	230,733686	269,547607	269,327860	291,969325	285,523012	288,049420	329,158661	314,410401	324,714554	336,131128	345,759476	328,814513	319,324273	365,856136	367,244059
31,000000	1205,491629	171,652043	160,468627	172,283557	191,661227	199,428880	212,890908	235,452421	211,034446	180,346932	241,594061	263,469403	251,034739	247,557208	259,026592	3,680550	229,701645	266,146155	265,794746	289,180366	281,660011	284,317049	326,400738	311,237790	321,390864	332,154945	342,590380	324,017205	315,183163	361,538289	363,724845
32,000000	1205,491630	169,472784	157,842117	169,362863	189,032509	196,248019	209,660040	233,071975	208,627603	178,592811	239,958976	262,395150	248,639924	245,171912	257,142113	3,652023	228,533720	263,356611	262,912169	286,369471	278,637710	281,422361	323,822416	308,684551	318,895309	329,297227	339,760029	320,649265	312,196099	358,631634	361,415844
33,000000	1205,491630	157,930820	142,119937	157,597355	177,733136	182,859289	197,510908	222,775875	199,665727	174,052645	235,083517	258,340780	243,229566	240,665979	251,868175	3,581695	226,868452	258,343533	258,162188	282,163311	274,017870	277,056439	320,412442	302,200176	314,007157	324,945858	336,610171	316,878953	308,968125	355,028982	357,611327
34,000000	1205,491630	137,965338	117,889608	136,691859	158,196840	162,626235	179,005795	203,237247	184,224795	163,102927	225,187361	249,367765	233,180668	229,970903	239,701088	3,414183	224,250007	249,042964	249,250722	276,935063	266,109802	269,104592	314,526870	291,636415	305,111559	316,995977	331,673114	310,747130	303,218954	348,823180	351,359370
35,000000	1205,491630	134,162142	122,611536	137,879694	153,871693	162,461135	178,140692	198,846582	179,029708	154,404832	217,764889	241,708159	225,915832	221,961455	230,186256	3,259996	221,220096	241,872392	242,253113	273,397653	259,753620	262,626359	308,488985	289,259635	300,456167	311,704426	326,483596	305,638619	298,131535	344,105146	348,050472
36,000000	1205,491631	141,821658	134,186627	147,726851	160,804263	172,209569	186,188655	205,326402	183,882968	151,041667	216,995735	239,315436	225,344022	222,945969	227,873451	3,216944	218,832512	241,747484	241,712820	271,855999	259,177913	261,907017	305,650355	291,788535	301,707235	312,024443	323,926301	304,755610	296,544150	343,252563	348,177282
37,000000	1205,491631	150,724740	142,784302	155,518568	169,326876	180,575444	193,833325	212,374257	190,448571	150,801864	219,504118	240,091052	227,800728	226,373194	229,491991	3,236108	217,074398	244,421686	243,886366	271,387097	261,069545	263,743028	305,318457	294,206566	303,857604	313,682453	323,367712	305,536486	296,757451	343,799956	348,721398
38,000000	1205,491631	157,469695	148,352633	160,602296	175,852418	186,134513	199,194556	217,776883	195,585671	152,259578	222,830481	242,320539	230,798741	229,468046	232,277383	3,277084	215,836020	247,295850	246,348274	271,559889	263,271074	265,956394	306,140229	296,140977	305,660242	315,238790	323,712086	306,595136	297,565728	344,659985	349,401692
39,000000	1205,491631	161,727884	151,577504	163,542001	180,030756	189,308678	202,371653	221,290441	198,817721	154,437596	225,702785	244,852025	233,174266	231,374517	234,717013	3,315174	214,914725	249,259527	247,940028	271,841331	264,607248	267,294880	306,988837	296,538854	306,148133	315,611636	323,942748	306,739068	297,753480	344,493872	348,820324
